,date,poolDayDatas_date,poolDayDatas_volumeUSD,poolDayDatas_volumeToken0,poolDayDatas_volumeToken1,poolDayDatas_liquidity,poolDayDatas_sqrtPrice,poolDayDatas_tick,date,avgGasPrice
0,2021-05-05,1620172800,3732.0944287756056,3695.686153,1.053733492783073,3990726651924459,1339927351757144388712475515525518,194725,2021-05-05,
1,2021-05-06,1620259200,1804100.3608244695,1803816.327163,516.1450875822657,68047172598720294,1339910162090425200965669972282089,194725,2021-05-06,93000000000.0
2,2021-05-07,1620345600,24132962.613435034,24132900.806355,6912.410379553819,1126614144148477771,1342329450130962182714220163061212,194761,2021-05-07,100000000000.0
3,2021-05-08,1620432000,21333664.528153747,21335972.622553,5949.015215539579,87209657035771435,1271215747025067696231868854587672,193672,2021-05-08,
4,2021-05-09,1620518400,6330963.787682868,6330422.177312,1631.8437051138799,191200334840491900,1267131081268782544641468500372448,193608,2021-05-09,71000000000.0
5,2021-05-10,1620604800,10471004.34959329,10322817.179905,2552.0474763362226,215540829494741927,1257690245852786966138749104200205,193458,2021-05-10,
6,2021-05-11,1620691200,5488562.481382891,5486156.598052,1368.8713213860372,203124441226685067,1229344489224039172013557528485551,193002,2021-05-11,
7,2021-05-12,1620777600,5367944.06261359,5358513.025262,1276.92301948149,57876239358790115,1292835160543742827974685243401401,194010,2021-05-12,362824001524.0
8,2021-05-13,1620864000,15178881.879268225,15165587.612764,4101.214205461797,64584392790783701,1299453803385052214605121878208714,194112,2021-05-13,
9,2021-05-14,1620950400,3700837.552012383,3701598.595308,932.5590788133753,61283243989606479,1239077666716718303220146589532474,193160,2021-05-14,94000000000.0
10,2021-05-15,1621036800,6396274.490215627,6389136.756633,1676.384015566101,282363246254637220,1313241984398711545340735251088576,194323,2021-05-15,
11,2021-05-16,1621123200,17784560.996144492,17769187.843892,4963.097263952242,283013648401286026,1324844322043353637960761913472086,194499,2021-05-16,53000000000.0
12,2021-05-17,1621209600,10944541.763318112,10945901.032618,3153.2365938073767,4405765477413274,1380018119873072456950864257965097,195315,2021-05-17,
13,2021-05-18,1621296000,11172707.392603837,11176666.456831,3219.349683280718,52761838051831744,1362721756137231350283605526562618,195063,2021-05-18,
